numtransactions,calylot_decode_wall_avg,calylot_read_proof_wall_avg,calylot_read_wall_avg,total
142,70.070464,1.136575,16.722516,87.929555
76,37.343919,0.6298,14.357257,52.330976
77,37.376997,0.633314,14.346588,52.356899
80,38.891152,0.597765,14.733988,54.222905
71,34.983043,0.561595,14.506156,50.050794
65,31.756466,0.52751,14.313913,46.597889
72,35.044324,0.578718,14.491427,50.114469
93,46.681791,0.7828,15.056037,62.520628
74,35.951205,0.61885,14.34158,50.911635
61,29.382233,0.512656,14.289826,44.184715
93,45.118874,0.750683,15.066832,60.936389
112,54.311407,0.85776,15.156801,70.325968
92,44.248943,0.706779,15.250383,60.206105
61,30.216276,0.479197,14.487885,45.183358
82,40.971672,0.652171,14.374021,55.997864
95,45.648304,0.79771,15.051737,61.497751
143,71.093401,1.165169,16.773424,89.031994
116,56.536409,1.019631,15.100662,72.656702
120,60.053032,1.026572,15.105817,76.185421
78,38.304935,0.62178,14.311303,53.238018
83,40.277666,0.64186,14.370487,55.290013
73,35.474772,0.609593,14.338856,50.423221
78,37.557275,0.620173,14.76845,52.945898
91,44.18005,0.720665,15.031756,59.932471
80,38.443505,0.621028,14.374433,53.438966
59,28.838821,0.48046,14.322493,43.641774
72,35.448196,0.558871,14.350712,50.357779
84,40.763192,0.683203,14.688801,56.135196
65,31.312167,0.513405,14.328162,46.153734
58,29.530307,0.488405,14.523297,44.542009
