numtransactions,calylot_decode_wall_avg,calylot_read_proof_wall_avg,calylot_read_wall_avg,total
142,66.630228,2.191475,3180.466257,3249.28796
76,36.082676,1.67695,1709.237754,1746.99738
77,36.580136,1.920454,1725.495328,1763.995918
80,37.627416,1.327052,1797.190331,1836.144799
71,33.349482,1.165174,1592.850861,1627.365517
65,30.713097,1.318589,1460.837662,1492.869348
72,33.883141,1.26391,1620.960731,1656.107782
93,44.054997,2.048071,2087.53314,2133.636208
74,34.955904,1.394573,1656.647664,1692.998141
61,28.583971,0.985653,1368.756167,1398.325791
93,44.094737,2.087358,2090.245071,2136.427166
112,52.159423,1.286835,2507.403185,2560.849443
92,43.51249,1.687716,2067.932205,2113.132411
61,28.593117,0.962985,1365.660758,1395.21686
82,38.642346,1.479532,1842.637404,1882.759282
95,45.189349,2.163069,2137.925441,2185.277859
143,67.298469,2.440886,3198.341321,3268.080676
116,54.529491,1.980405,2607.985516,2664.495412
120,55.823234,1.29004,2685.435579,2742.548853
78,37.376402,1.958938,1752.355255,1791.690595
83,39.224019,1.718468,1868.722036,1909.664523
73,34.417818,1.302834,1638.468408,1674.18906
78,37.344528,1.961864,1749.582176,1788.888568
91,42.904232,1.66943,2046.377363,2090.951025
80,37.581146,1.370578,1797.166203,1836.117927
59,27.527817,0.78648,1324.12662,1352.440917
72,33.888842,1.302399,1615.254256,1650.445497
84,39.764112,1.826168,1886.093393,1927.683673
65,30.667748,1.396469,1451.811009,1483.875226
58,27.522684,1.381194,1300.368225,1329.272103
