Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,1,0,1,16.422552,1,0
1,1,0,1,16.890631,1,0
2,1,0,1,16.888695,1,0
3,0,1,1,16.922128,0,1
4,0,1,1,16.665951,0,1
5,0,1,1,16.468436,0,1
6,0,1,1,16.075456,0,1
7,0,1,1,16.491870,0,1
8,0,1,1,16.481981,0,1
9,0,1,1,15.673346,0,1
10,0,1,1,15.679170,0,1
11,0,1,1,15.662223,0,1
12,0,1,1,15.626144,0,1
13,1,0,1,16.628526,1,0
14,2,0,2,17.307430,1,0
15,3,0,3,17.360651,1,0
16,4,0,4,17.552170,1,0
17,5,0,5,17.356875,1,0
18,5,0,5,17.338197,1,0
19,5,0,5,17.301834,1,0
20,3,0,3,17.516009,1,0
21,2,0,2,17.324875,1,0
22,5,0,5,17.369846,1,0
23,5,0,5,16.938219,1,0
24,5,0,5,17.336106,1,0
25,5,0,5,17.339519,1,0
26,5,0,5,17.750114,1,0
27,5,0,5,17.794010,1,0
28,5,0,5,18.081527,1,0
29,5,0,5,17.331661,1,0
30,5,0,5,17.340858,1,0
31,5,0,5,16.928126,1,0
32,5,0,5,17.338145,1,0
33,4,0,4,18.080659,1,0
34,4,0,4,18.094442,1,0
35,2,0,2,17.726328,1,0
36,2,0,2,17.426733,1,0
37,1,0,1,18.103300,1,0
38,2,0,2,18.138479,1,0
39,3,0,3,17.338324,1,0
40,4,0,4,16.942539,1,0
41,4,0,4,16.933723,1,0
42,4,0,4,17.546773,1,0
43,4,0,4,16.943952,1,0
44,4,0,4,17.555112,1,0
45,4,0,4,16.956206,1,0
46,1,0,1,17.756401,1,0
47,3,0,3,17.948967,1,0
48,4,0,4,18.119703,1,0
49,4,0,4,17.538049,1,0
50,4,0,4,17.539810,1,0
51,4,0,4,17.149233,1,0
52,4,0,4,17.542657,1,0
53,4,0,4,17.355397,1,0
54,4,0,4,16.958348,1,0
55,3,0,3,17.776788,1,0
56,3,0,3,18.105247,1,0
57,2,0,2,18.094931,1,0
58,2,0,2,18.319878,1,0
59,2,0,2,16.943694,1,0
60,1,0,1,17.337313,1,0
61,1,0,1,17.559946,1,0
62,2,0,2,17.586393,1,0
63,3,0,3,17.380214,1,0
64,2,0,2,17.757371,1,0
65,2,0,2,16.979813,1,0
66,4,0,4,17.046480,1,0
67,4,0,4,17.532750,1,0
68,4,0,4,17.693709,1,0
69,4,0,4,17.544857,1,0
70,4,0,4,17.348632,1,0
71,4,0,4,17.751704,1,0
72,4,0,4,16.965370,1,0
73,4,0,4,17.424050,1,0
74,4,0,4,18.085111,1,0
75,4,0,4,18.098444,1,0
76,4,0,4,17.701488,1,0
77,4,0,4,18.301506,1,0
78,4,0,4,18.159909,1,0
