NumTransactions,NumWriteTransactions,NumReadTransactions,AddWrite_wall_avg,WriteProof_wall_avg,WriteTotalAvg,AddRead_wall_avg,Decrypt_wall_avg,ReadTotalAvg,Byzgen_wall_avg,AddWrite_wall_sum,WriteProof_wall_sum,WriteTotalSum,AddRead_wall_sum,Decrypt_wall_sum,ReadTotalSum,Byzgen_wall_sum
257,70,187,14.139554,0.008572,14.148126,8.588778,0.819238,9.408016,2725.88744,989.768753,1.345799,991.114552,1606.101541,128.620355,1734.721896,2725.88744
552,244,308,5.070397,0.028108,5.098505,4.26205,1.210838,5.472888,2744.473799,1237.176899,4.412907,1241.589806,1312.711369,190.101552,1502.812921,2744.473799
331,331,0,8.221273,0.039851,8.261124,0,0,0,2727.550466,2721.241445,6.256608,2727.498053,0,0,0,2727.550466
539,539,0,5.069946,0.064965,5.134911,0,0,0,2742.967476,2732.700695,10.199481,2742.900176,0,0,0,2742.967476
377,301,76,5.847701,0.035316,5.883017,11.919642,0.406818,12.32646,2735.524473,1760.158118,5.544582,1765.7027,905.892764,63.870447,969.763211,2735.524473
245,102,143,11.114433,0.012671,11.127104,10.312202,0.732893,11.045095,2725.419831,1133.672203,1.98929,1135.661493,1474.644881,115.064256,1589.709137,2725.419831
525,136,389,4.838887,0.016351,4.855238,4.736134,1.542157,6.278291,2745.20725,658.088671,2.567171,660.655842,1842.356131,242.118716,2084.474847,2745.20725
465,98,367,8.385217,0.011057,8.396274,4.643272,1.429157,6.072429,2753.453357,821.75127,1.746953,823.498223,1704.080893,225.806846,1929.887739,2753.453357
,,,,,,,,,,12054.55805,34.062791,12088.62085,8845.787579,965.582172,9811.369751,
,,,,,,,,,,6.619746323,0.018705541,6.638451864,6.017542571,0.65685862,6.674401191,
