day,txn_count,total
1,142,87.929555
2,76,52.330976
3,77,52.356899
4,80,54.222905
5,71,50.050794
6,65,46.597889
7,72,50.114469
8,93,62.520628
9,74,50.911635
10,61,44.184715
11,93,60.936389
12,112,70.325968
13,92,60.206105
14,61,45.183358
15,82,55.997864
16,95,61.497751
17,143,89.031994
18,116,72.656702
19,120,76.185421
20,78,53.238018
21,83,55.290013
22,73,50.423221
23,78,52.945898
24,91,59.932471
25,80,53.438966
26,59,43.641774
27,72,50.357779
28,84,56.135196
29,65,46.153734
30,58,44.542009
