day,txn_count,total
1,142,109.476936
2,76,92.196762
3,77,94.035152
4,80,92.148271
5,71,92.907417
6,65,91.982643
7,72,92.895061
8,93,95.411099
9,74,92.139153
10,61,79.21719
11,93,95.141559
12,112,96.715283
13,92,94.139528
14,61,79.985322
15,82,94.38788
16,95,95.391863
17,143,112.314688
18,116,96.037843
19,120,96.525286
20,78,93.412974
21,83,93.252513
22,73,92.130196
23,78,92.649624
24,91,94.570649
25,80,92.479569
26,59,79.555388
27,72,92.782585
28,84,94.488278
29,65,92.575796
30,58,79.284995
