NumTransactions,NumWriteTransactions,NumReadTransactions,AddWriteTxn_wall_avg,WriteGetProof_wall_avg,WriteTotalAvg,AddReadTxn_wall_avg,Decrypt_wall_avg,ReadTotalAvg,Byzgen_Simple_wall_avg,AddWriteTxn_wall_sum,WriteGetProof_wall_sum,WriteTotalSum,AddReadTxn_wall_sum,Decrypt_wall_sum,ReadTotalSum,Byzgen_Simple_wall_sum
257,70,187,14.359971,0.008315,14.368286,9.141167,0.059554,9.200721,2725.297042,1005.197974,1.305494,1006.503468,1709.398205,9.349906,1718.748111,2725.297042
552,244,308,5.063209,0.028212,5.091421,4.830476,0.091049,4.921525,2741.997293,1235.422919,4.429291,1239.85221,1487.786655,14.294758,1502.081413,2741.997293
331,331,0,8.225598,0.037877,8.263475,0,0,0,2728.669075,2722.672846,5.946727,2728.619573,0,0,0,2728.669075
539,539,0,5.100877,0.061689,5.162566,0,0,0,2759.124759,2749.37288,9.68514,2759.05802,0,0,0,2759.124759
377,301,76,5.92336,0.033373,5.956733,12.51669,0.025463,12.542153,2743.489604,1782.931324,5.239636,1788.17096,951.268443,3.997639,955.266082,2743.489604
245,102,143,11.367894,0.012255,11.380149,10.885486,0.045104,10.93059,2725.199513,1159.525146,1.92409,1161.449236,1556.624508,7.081299,1563.705807,2725.199513
525,136,389,4.853118,0.016351,4.869469,5.265753,0.122235,5.387988,2730.225566,660.024096,2.567159,662.591255,2048.378015,19.190911,2067.568926,2730.225566
465,98,367,8.46941,0.01052,8.47993,5.166171,0.116004,5.282175,2746.038339,830.0022,1.662134,831.664334,1895.984613,18.328603,1914.313216,2746.038339
3291,1821,1470,,,,,,,,12145.14939,32.759671,12177.90906,9649.440439,72.243116,9721.683555,
,,,,,,,,,,6.669494445,0.017989935,6.68748438,6.564245197,0.049144977,6.613390173,
